,x,y,z,num_of_neighbor_lesions,avg_of_num_of_neighbor_lesions,diff_of_num_of_neighbor_lesions_and_avg_of_num_of_neighbor_lesions,voxel_intensity,average_intensity_of_neighbor_voxels,diff_of_vox_int_and_avg_int_of_nei_vox
0,209,256,214,5.0,12.8,-7.800000000000001,125.0,129.0,-4.0
1,209,256,215,8.0,12.875,-4.875,129.0,129.625,-0.625
2,209,256,216,8.0,12.875,-4.875,131.0,131.25,-0.25
3,209,256,217,5.0,12.8,-7.800000000000001,131.0,132.0,-1.0
4,210,249,216,7.0,14.0,-7.0,111.0,117.57142857142857,-6.571428571428569
5,210,249,217,7.0,14.0,-7.0,111.0,117.57142857142857,-6.571428571428569
6,210,250,216,13.0,14.923076923076923,-1.9230769230769234,118.0,121.76923076923077,-3.7692307692307736
7,210,250,217,11.0,14.636363636363637,-3.6363636363636367,118.0,120.63636363636364,-2.6363636363636402
8,210,251,214,7.0,17.0,-10.0,126.0,130.28571428571428,-4.285714285714278
9,210,251,215,13.0,17.692307692307693,-4.692307692307693,126.0,128.84615384615384,-2.8461538461538396
10,210,251,216,15.0,17.6,-2.6000000000000014,126.0,128.06666666666666,-2.066666666666663
11,210,251,217,11.0,17.272727272727273,-6.272727272727273,126.0,127.27272727272727,-1.2727272727272663
12,210,252,214,11.0,16.90909090909091,-5.90909090909091,128.0,130.8181818181818,-2.818181818181813
13,210,252,215,17.0,17.941176470588236,-0.9411764705882355,131.0,131.11764705882354,-0.1176470588235361
14,210,252,216,17.0,18.41176470588235,-1.4117647058823515,132.0,132.0,0.0
15,210,252,217,11.0,18.0,-7.0,133.0,132.27272727272728,0.7272727272727195
16,210,253,214,11.0,18.363636363636363,-7.363636363636363,129.0,132.27272727272728,-3.2727272727272805
17,210,253,215,17.0,19.11764705882353,-2.117647058823529,132.0,132.88235294117646,-0.8823529411764639
18,210,253,216,17.0,19.11764705882353,-2.117647058823529,134.0,134.23529411764707,-0.2352941176470722
19,210,253,217,11.0,18.363636363636363,-7.363636363636363,135.0,134.72727272727272,0.2727272727272805
20,210,254,214,11.0,18.818181818181817,-7.818181818181817,129.0,132.1818181818182,-3.181818181818187
21,210,254,215,17.0,19.58823529411765,-2.5882352941176485,132.0,132.8235294117647,-0.8235294117646959
22,210,254,216,17.0,19.58823529411765,-2.5882352941176485,134.0,134.1764705882353,-0.17647058823530415
23,210,254,217,11.0,18.818181818181817,-7.818181818181817,134.0,134.72727272727272,-0.7272727272727195
24,210,255,214,13.0,15.23076923076923,-2.23076923076923,128.0,130.69230769230768,-2.692307692307679
25,210,255,215,20.0,15.95,4.050000000000001,131.0,131.4,-0.4000000000000057
26,210,255,216,20.0,15.95,4.050000000000001,133.0,132.65,0.3499999999999943
27,210,255,217,13.0,15.23076923076923,-2.23076923076923,133.0,133.07692307692307,-0.07692307692306599
28,210,256,214,9.0,14.555555555555555,-5.555555555555555,127.0,130.11111111111111,-3.1111111111111143
