,x,y,z,num_of_neighbor_lesions,avg_of_num_of_neighbor_lesions,diff_of_num_of_neighbor_lesions_and_avg_of_num_of_neighbor_lesions,voxel_intensity,average_intensity_of_neighbor_voxels,diff_of_vox_int_and_avg_int_of_nei_vox
0,82,91,29,1,3.0,-2.0,655.0,612.0,43.0
1,83,89,29,1,4.0,-3.0,468.0,537.0,-69.0
2,83,91,29,3,2.66666666667,0.333333333333,612.0,579.333333333,32.6666666667
3,84,90,29,4,2.25,1.75,537.0,524.5,12.5
4,84,91,29,3,3.0,0.0,546.0,540.333333333,5.66666666667
5,85,91,29,2,3.5,-1.5,472.0,541.5,-69.5
6,85,130,33,1,2.0,-1.0,615.0,651.0,-36.0
7,86,130,33,2,1.5,0.5,651.0,669.0,-18.0
8,87,130,33,2,2.5,-0.5,723.0,650.5,72.5
9,88,129,33,3,2.0,1.0,650.0,678.333333333,-28.3333333333
10,89,128,33,2,2.5,-0.5,629.0,666.5,-37.5
11,89,129,33,2,2.5,-0.5,683.0,639.5,43.5
12,89,131,33,0,,,709.0,,
13,89,139,33,2,2.0,0.0,668.0,690.5,-22.5
14,89,143,27,1,1.0,0.0,644.0,625.0,19.0
15,90,139,33,2,2.0,0.0,697.0,676.0,21.0
16,90,140,33,2,2.0,0.0,684.0,682.5,1.5
17,90,143,27,1,1.0,0.0,625.0,644.0,-19.0
18,91,177,32,2,5.0,-3.0,705.0,693.5,11.5
19,91,179,32,1,5.0,-4.0,639.0,656.0,-17.0
20,92,87,28,3,4.66666666667,-1.66666666667,727.0,599.666666667,127.333333333
21,92,88,28,3,4.66666666667,-1.66666666667,552.0,658.0,-106.0
22,92,161,25,3,6.33333333333,-3.33333333333,568.0,720.0,-152.0
23,92,177,32,5,3.2,1.8,731.0,598.8,132.2
24,92,178,32,5,3.0,2.0,656.0,633.4,22.6
25,93,87,28,5,4.4,0.6,607.0,622.6,-15.6
26,93,88,28,6,4.16666666667,1.83333333333,640.0,614.666666667,25.3333333333
27,93,157,25,3,3.66666666667,-0.666666666667,671.0,732.0,-61.0
28,93,158,25,4,3.5,0.5,663.0,764.0,-101.0
29,93,160,25,5,6.0,-1.0,731.0,748.2,-17.2
30,93,161,25,7,7.57142857143,-0.571428571429,724.0,714.571428571,9.42857142857
31,93,162,25,7,8.28571428571,-1.28571428571,705.0,705.142857143,-0.142857142857
32,93,165,25,0,,,596.0,,
33,93,176,32,2,4.5,-2.5,541.0,655.0,-114.0
34,93,177,32,4,3.75,0.25,579.0,610.25,-31.25
35,93,178,32,3,4.66666666667,-1.66666666667,513.0,655.333333333,-142.333333333
36,94,87,28,4,6.0,-2.0,483.0,677.75,-194.75
37,94,88,28,6,5.16666666667,0.833333333333,711.0,619.666666667,91.3333333333
38,94,89,28,4,6.0,-2.0,608.0,682.75,-74.75
39,94,157,25,3,3.66666666667,-0.666666666667,712.0,718.333333333,-6.33333333333
40,94,158,25,4,3.5,0.5,821.0,724.5,96.5
41,94,159,25,4,4.75,-0.75,852.0,758.75,93.25
42,94,160,25,6,7.0,-1.0,820.0,758.166666667,61.8333333333
43,94,161,25,10,8.1,1.9,777.0,733.6,43.4
44,94,162,25,11,8.36363636364,2.63636363636,785.0,722.545454545,62.4545454545
45,94,162,26,11,8.36363636364,2.63636363636,616.0,737.909090909,-121.909090909
46,94,163,25,8,8.25,-0.25,812.0,707.0,105.0
47,94,163,26,8,8.25,-0.25,654.0,726.75,-72.75
48,94,175,45,0,,,613.0,,
49,95,88,28,7,4.71428571429,2.28571428571,753.0,611.0,142.0
50,95,89,28,5,5.4,-0.4,627.0,676.8,-49.8
51,95,161,25,8,8.375,-0.375,791.0,737.625,53.375
52,95,161,26,8,8.375,-0.375,674.0,752.25,-78.25
53,95,161,36,0,,,678.0,,
54,95,162,25,9,8.88888888889,0.111111111111,723.0,731.222222222,-8.22222222222
55,95,162,26,9,8.88888888889,0.111111111111,767.0,726.333333333,40.6666666667
56,95,163,25,7,8.57142857143,-1.57142857143,705.0,722.571428571,-17.5714285714
57,95,164,25,4,6.5,-2.5,701.0,715.5,-14.5
58,95,165,25,3,5.33333333333,-2.33333333333,691.0,660.333333333,30.6666666667
59,95,166,26,5,5.4,-0.4,666.0,656.4,9.6
60,95,167,25,4,6.25,-2.25,646.0,652.75,-6.75
61,95,167,26,5,6.2,-1.2,558.0,662.2,-104.2
62,96,87,28,4,6.25,-2.25,536.0,668.25,-132.25
63,96,88,28,6,5.33333333333,0.666666666667,727.0,615.666666667,111.333333333
64,96,89,28,4,6.0,-2.0,585.0,682.0,-97.0
65,96,151,26,4,4.75,-0.75,584.0,594.5,-10.5
66,96,152,26,4,4.75,-0.75,585.0,618.5,-33.5
67,96,153,26,3,3.66666666667,-0.666666666667,630.0,617.0,13.0
68,96,154,26,1,3.0,-2.0,624.0,630.0,-6.0
69,96,156,26,0,,,635.0,,
70,96,160,26,3,6.0,-3.0,739.0,703.333333333,35.6666666667
71,96,164,27,1,2.0,-1.0,650.0,692.0,-42.0
72,96,166,25,7,4.71428571429,2.28571428571,614.0,707.714285714,-93.7142857143
73,96,167,26,8,5.0,3.0,773.0,692.75,80.25
74,96,168,27,7,4.14285714286,2.85714285714,612.0,690.714285714,-78.7142857143
75,96,169,26,3,4.66666666667,-1.66666666667,669.0,706.0,-37.0
76,97,87,28,6,5.0,1.0,572.0,580.5,-8.5
77,97,88,28,6,5.0,1.0,621.0,592.0,29.0
78,97,150,26,3,4.66666666667,-1.66666666667,533.0,583.0,-50.0
79,97,151,26,6,4.0,2.0,618.0,579.166666667,38.8333333333
80,97,152,26,6,4.0,2.0,642.0,591.333333333,50.6666666667
81,97,161,27,2,2.5,-0.5,645.0,696.0,-51.0
82,97,162,27,2,2.0,0.0,653.0,668.5,-15.5
83,97,163,27,2,1.5,0.5,692.0,651.5,40.5
84,97,166,26,3,6.66666666667,-3.66666666667,827.0,726.666666667,100.333333333
85,97,167,26,5,5.8,-0.8,793.0,730.4,62.6
86,97,167,28,2,4.5,-2.5,619.0,604.5,14.5
87,97,168,26,4,5.75,-1.75,826.0,711.75,114.25
88,97,168,28,2,4.5,-2.5,597.0,615.5,-18.5
89,97,170,27,3,3.66666666667,-0.666666666667,680.0,642.666666667,37.3333333333
90,97,171,27,2,4.5,-2.5,615.0,662.0,-47.0
91,98,86,28,4,5.25,-1.25,467.0,573.0,-106.0
92,98,87,28,6,4.83333333333,1.16666666667,603.0,551.0,52.0
93,98,88,28,4,5.75,-1.75,529.0,607.25,-78.25
94,98,151,26,4,4.5,-0.5,547.0,594.25,-47.25
95,98,152,26,3,5.33333333333,-2.33333333333,584.0,602.333333333,-18.3333333333
96,98,156,27,2,3.0,-1.0,524.0,552.5,-28.5
97,98,157,27,2,1.5,0.5,556.0,556.0,0.0
98,98,158,27,1,2.0,-1.0,588.0,556.0,32.0
99,98,165,28,0,,,615.0,,
100,98,170,28,6,4.16666666667,1.83333333333,644.0,678.0,-34.0
101,99,86,28,4,4.5,-0.5,484.0,579.75,-95.75
102,99,87,28,5,4.2,0.8,633.0,539.8,93.2
103,99,155,27,4,4.5,-0.5,549.0,546.0,3.0
104,99,161,28,2,4.0,-2.0,610.0,651.0,-41.0
105,99,162,28,2,2.0,0.0,628.0,641.5,-13.5
106,99,163,28,2,2.5,-0.5,673.0,606.0,67.0
107,99,167,29,1,2.0,-1.0,625.0,649.0,-24.0
108,99,168,29,2,2.5,-0.5,649.0,650.5,-1.5
109,99,169,29,4,4.75,-0.75,676.0,633.25,42.75
110,99,170,29,6,5.16666666667,0.833333333333,668.0,646.666666667,21.3333333333
111,99,171,28,4,5.5,-1.5,827.0,617.75,209.25
112,99,171,29,6,5.16666666667,0.833333333333,602.0,637.833333333,-35.8333333333
113,99,172,29,4,4.5,-0.5,557.0,659.0,-102.0
114,99,173,28,2,3.0,-1.0,648.0,576.0,72.0
115,100,87,28,3,3.33333333333,-0.333333333333,616.0,558.666666667,57.3333333333
116,100,152,12,1,3.0,-2.0,629.0,741.0,-112.0
117,100,152,26,2,3.5,-1.5,552.0,571.0,-19.0
118,100,153,26,5,4.0,1.0,582.0,573.4,8.6
119,100,154,27,5,5.2,-0.2,567.0,575.8,-8.8
120,100,155,27,6,5.5,0.5,560.0,565.333333333,-5.33333333333
121,100,156,28,5,6.4,-1.4,533.0,561.0,-28.0
122,100,157,28,5,7.8,-2.8,555.0,580.2,-25.2
123,100,158,28,6,9.33333333333,-3.33333333333,574.0,620.5,-46.5
124,100,159,28,7,9.0,-2.0,619.0,668.0,-49.0
125,100,160,28,6,8.16666666667,-2.16666666667,674.0,667.333333333,6.66666666667
126,100,164,29,3,3.66666666667,-0.666666666667,584.0,751.666666667,-167.666666667
127,100,170,30,5,5.0,0.0,572.0,632.8,-60.8
128,100,171,30,6,4.66666666667,1.33333333333,559.0,610.5,-51.5
129,100,174,29,2,2.5,-0.5,595.0,624.0,-29.0
130,101,87,28,1,3.0,-2.0,559.0,616.0,-57.0
131,101,152,12,3,2.33333333333,0.666666666667,741.0,671.0,70.0
132,101,152,26,2,3.5,-1.5,560.0,567.0,-7.0
133,101,154,26,5,5.8,-0.8,643.0,560.8,82.2
134,101,154,27,6,5.83333333333,0.166666666667,545.0,576.5,-31.5
135,101,156,28,8,6.875,1.125,555.0,558.125,-3.125
136,101,157,28,9,7.55555555556,1.44444444444,586.0,566.0,20.0
137,101,158,28,11,8.72727272727,2.27272727273,653.0,614.727272727,38.2727272727
138,101,159,28,12,8.5,3.5,726.0,657.833333333,68.1666666667
139,101,159,29,12,8.5,3.5,584.0,669.666666667,-85.6666666667
140,101,160,28,8,9.0,-1.0,807.0,685.75,121.25
