voxel_id,x,y,z,num_of_neighbor_lesions,avg_of_num_of_neighbor_lesions,diff_of_num_of_neighbor_lesions_and_avg_of_num_of_neighbor_lesions,voxel_intensity,average_intensity_of_neighbor_voxels,diff_of_vox_int_and_avg_int_of_nei_vox
0,72,164,33,3,4.0,-1.0,597.0,606.333333333,-9.33333333333
1,72,165,33,3,4.0,-1.0,592.0,608.0,-16.0
2,73,164,33,5,4.4,0.6,612.0,603.8,8.2
3,73,165,33,4,4.5,-0.5,615.0,610.25,4.75
4,74,154,22,2,4.5,-2.5,651.0,645.0,6.0
5,74,163,33,5,7.2,-2.2,575.0,618.0,-43.0
6,74,164,33,7,5.85714285714,1.14285714286,640.0,605.714285714,34.2857142857
7,74,172,24,1,2.0,-1.0,449.0,446.0,3.0
8,75,154,22,5,4.2,0.8,650.0,613.2,36.8
9,75,155,22,4,4.5,-0.5,640.0,629.25,10.75
10,75,163,32,8,8.5,-0.5,586.0,612.5,-26.5
11,75,163,33,8,8.5,-0.5,596.0,611.25,-15.25
12,75,164,33,8,7.75,0.25,656.0,602.25,53.75
13,75,165,23,6,12.3333333333,-6.33333333333,543.0,567.5,-24.5
14,75,165,33,3,8.0,-5.0,600.0,641.666666667,-41.6666666667
15,75,171,28,4,4.25,-0.25,675.0,639.0,36.0
16,75,172,28,3,4.66666666667,-1.66666666667,670.0,635.0,35.0
17,75,173,24,2,1.0,1.0,446.0,456.0,-10.0
18,75,174,24,1,2.0,-1.0,463.0,446.0,17.0
19,76,153,22,4,5.5,-1.5,559.0,608.0,-49.0
20,76,154,22,6,5.0,1.0,611.0,608.5,2.5
21,76,155,22,5,5.4,-0.4,605.0,619.6,-14.6
22,76,162,22,4,10.75,-6.75,480.0,555.5,-75.5
23,76,162,32,9,10.3333333333,-1.33333333333,612.0,604.111111111,7.88888888889
24,76,163,22,8,12.75,-4.75,535.0,558.625,-23.625
25,76,163,32,11,9.81818181818,1.18181818182,598.0,608.545454545,-10.5454545455
26,76,163,33,11,9.81818181818,1.18181818182,594.0,608.909090909,-14.9090909091
27,76,164,22,12,14.5,-2.5,560.0,575.5,-15.5
28,76,164,23,10,14.9,-4.9,566.0,584.8,-18.8
29,76,164,33,9,8.88888888889,0.111111111111,629.0,602.555555556,26.4444444444
30,76,165,22,15,14.8666666667,0.133333333333,550.0,576.266666667,-26.2666666667
31,76,165,23,13,15.2307692308,-2.23076923077,636.0,581.0,55.0
32,76,166,22,12,15.8333333333,-3.83333333333,525.0,584.25,-59.25
33,76,166,23,12,15.5833333333,-3.58333333333,568.0,589.666666667,-21.6666666667
34,76,170,28,4,4.5,-0.5,656.0,617.75,38.25
35,76,171,28,6,3.83333333333,2.16666666667,630.0,627.833333333,2.16666666667
36,76,172,28,4,4.25,-0.25,600.0,631.5,-31.5
37,77,152,22,4,5.25,-1.25,577.0,622.75,-45.75
38,77,154,22,7,5.28571428571,1.71428571429,594.0,601.571428571,-7.57142857143
39,77,155,22,5,5.6,-0.6,603.0,608.4,-5.4
40,77,160,31,4,11.75,-7.75,570.0,645.25,-75.25
41,77,161,22,8,12.25,-4.25,516.0,556.5,-40.5
42,77,161,31,7,12.0,-5.0,648.0,636.0,12.0
43,77,162,22,11,13.6363636364,-2.63636363636,568.0,562.090909091,5.90909090909
44,77,162,32,13,12.3846153846,0.615384615385,654.0,617.461538462,36.5384615385
45,77,162,33,11,13.0909090909,-2.09090909091,574.0,616.818181818,-42.8181818182
46,77,163,22,16,15.0625,0.9375,603.0,574.6875,28.3125
47,77,163,32,12,11.25,0.75,593.0,615.666666667,-22.6666666667
48,77,163,33,12,11.25,0.75,594.0,615.583333333,-21.5833333333
49,77,164,21,13,18.0769230769,-5.07692307692,515.0,600.769230769,-85.7692307692
50,77,164,22,20,17.15,2.85,596.0,601.5,-5.5
51,77,164,23,16,17.3125,-1.3125,581.0,595.0625,-14.0625
52,77,164,33,7,10.7142857143,-3.71428571429,606.0,608.285714286,-2.28571428571
53,77,165,21,14,18.5714285714,-4.57142857143,537.0,605.214285714,-68.2142857143
54,77,165,22,23,17.7826086957,5.21739130435,585.0,615.695652174,-30.6956521739
55,77,165,23,20,17.9,2.1,659.0,607.7,51.3
56,77,166,21,12,19.4166666667,-7.41666666667,525.0,620.083333333,-95.0833333333
57,77,166,22,20,19.05,0.95,604.0,627.5,-23.5
58,77,166,23,20,18.5,1.5,644.0,618.95,25.05
59,77,166,24,12,18.0,-6.0,572.0,639.083333333,-67.0833333333
60,77,167,22,17,18.7647058824,-1.76470588235,588.0,611.529411765,-23.5294117647
61,77,167,23,18,18.1666666667,-0.166666666667,572.0,612.944444444,-40.9444444444
62,77,167,24,11,18.2727272727,-7.27272727273,598.0,619.181818182,-21.1818181818
63,77,167,28,4,3.5,0.5,737.0,670.75,66.25
64,77,168,22,13,19.3846153846,-6.38461538462,545.0,604.384615385,-59.3846153846
65,77,168,23,14,18.7142857143,-4.71428571429,481.0,615.214285714,-134.214285714
66,77,168,28,4,3.75,0.25,717.0,637.75,79.25
67,77,169,22,13,18.3076923077,-5.30769230769,534.0,594.538461538,-60.5384615385
68,77,170,22,13,18.6153846154,-5.61538461538,569.0,591.923076923,-22.9230769231
69,77,170,23,13,18.6153846154,-5.61538461538,531.0,616.153846154,-85.1538461538
70,77,170,28,4,4.25,-0.25,615.0,594.75,20.25
71,77,171,22,14,17.5714285714,-3.57142857143,561.0,569.714285714,-8.71428571429
72,77,171,23,14,17.4285714286,-3.42857142857,545.0,593.857142857,-48.8571428571
73,77,171,28,4,4.5,-0.5,551.0,625.25,-74.25
74,77,172,22,11,17.4545454545,-6.45454545455,491.0,559.181818182,-68.1818181818
75,77,172,23,11,17.2727272727,-6.27272727273,523.0,576.636363636,-53.6363636364
76,78,151,22,4,4.75,-0.75,705.0,588.25,116.75
77,78,152,22,6,5.0,1.0,626.0,610.0,16.0
78,78,153,22,7,5.71428571429,1.28571428571,601.0,606.428571429,-5.42857142857
79,78,154,22,6,5.66666666667,0.333333333333,627.0,606.333333333,20.6666666667
80,78,155,22,4,5.75,-1.75,605.0,608.0,-3.0
81,78,160,21,12,13.75,-1.75,572.0,560.416666667,11.5833333333
82,78,160,22,9,14.4444444444,-5.44444444444,512.0,569.777777778,-57.7777777778
83,78,160,31,9,14.3333333333,-5.33333333333,628.0,628.777777778,-0.777777777778
84,78,160,33,8,16.25,-8.25,587.0,636.125,-49.125
85,78,161,21,16,14.875,1.125,559.0,571.8125,-12.8125
86,78,161,22,13,15.3846153846,-2.38461538462,593.0,565.769230769,27.2307692308
